,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
0,804,Clouds,overcast clouds,04d,stations,10000,1719041703,19800,Port Blair,200,92.75,11.6667,27.46,30.55,27.46,27.46,1005,78,1005,1004,7.2,242,10.66,100,IN,1719012403,1719058514,0,0,2024-06-22 07:35:03
1,804,Clouds,overcast clouds,04d,stations,10000,1719041703,19800,Chirala,200,80.3522,15.8238,32.93,37.65,32.93,32.93,1000,55,1000,999,2.3,263,4.23,100,IN,1719014913,1719061956,0,0,2024-06-22 07:35:03
2,501,Rain,moderate rain,10d,stations,10000,1719041705,19800,Kondapalle,200,80.3667,16.5667,31.95,34.76,31.95,31.95,999,52,999,996,3.79,298,5.4,99,IN,1719014824,1719062038,1,9207,2024-06-22 07:35:05
3,502,Rain,heavy intensity rain,10d,stations,10000,1719041705,19800,Guntur,200,80.4573,16.2997,31.97,34.31,31.97,31.97,1000,50,1000,997,2.85,269,4.98,100,IN,1719014833,1719061985,1,9207,2024-06-22 07:35:05
4,500,Rain,light rain,10d,stations,10000,1719041458,19800,Hindupur,200,77.4926,13.8306,32.31,32.54,32.31,32.31,1003,39,1003,935,6.81,283,6.9,100,IN,1719015825,1719062416,0,0,2024-06-22 07:30:58
5,804,Clouds,overcast clouds,04d,stations,10000,1719041706,19800,Kothapet,200,79.4661,19.3316,26.0,26.0,26.0,26.0,1001,87,1001,981,1.46,201,2.16,100,IN,1719014714,1719062579,0,0,2024-06-22 07:35:06
6,804,Clouds,overcast clouds,04d,stations,10000,1719041706,19800,Ramanayyapeta,200,82.2381,16.9604,30.82,35.47,30.82,30.82,999,64,999,998,3.91,278,6.75,100,IN,1719014329,1719061634,0,0,2024-06-22 07:35:06
7,803,Clouds,broken clouds,04d,stations,10000,1719041462,19800,Alampur,200,78.0425,15.8309,36.47,38.37,36.47,36.47,1000,35,1000,970,6.43,285,6.83,58,IN,1719015466,1719062511,0,0,2024-06-22 07:31:02
8,804,Clouds,overcast clouds,04d,stations,10000,1719041435,19800,Machilipatnam,200,81.14,16.19,32.44,38.45,32.44,32.44,1000,61,1000,999,3.41,286,4.5,100,IN,1719014682,1719061809,0,0,2024-06-22 07:30:35
9,803,Clouds,broken clouds,04d,stations,10000,1719041707,19800,Nandyal,200,78.4836,15.478,37.3,39.56,37.3,37.3,1000,34,1000,977,5.93,290,6.36,63,IN,1719015401,1719062365,0,0,2024-06-22 07:35:07
10,500,Rain,light rain,10d,stations,10000,1719041172,19800,Nellore,200,79.9874,14.4494,34.09,36.98,34.09,34.09,1001,45,1001,999,4.23,281,6.49,100,IN,1719015157,1719061887,0,0,2024-06-22 07:26:12
11,804,Clouds,overcast clouds,04d,stations,10000,1719041582,19800,Ongole,200,80.0445,15.5036,34.03,38.12,34.03,34.03,999,49,999,997,1.81,253,4.46,100,IN,1719015023,1719061993,0,0,2024-06-22 07:33:02
12,804,Clouds,overcast clouds,04d,stations,10000,1719041708,19800,Proddatur,200,78.5481,14.7502,32.83,32.57,32.83,32.83,1000,35,1000,983,5.62,277,6.85,100,IN,1719015468,1719062266,1,9210,2024-06-22 07:35:08
13,804,Clouds,overcast clouds,04d,stations,10000,1719041708,19800,Rajahmundry,200,81.7778,17.0052,30.36,34.92,30.36,30.36,999,66,999,995,4.42,289,6.77,100,IN,1719014434,1719061750,0,0,2024-06-22 07:35:08
14,501,Rain,moderate rain,10d,stations,10000,1719041581,19800,Akkarampalle,200,79.4199,13.6355,36.73,38.84,36.73,36.73,1001,35,1001,984,6.15,293,6.37,96,IN,1719015384,1719061932,0,0,2024-06-22 07:33:01
15,803,Clouds,broken clouds,04d,stations,6000,1719041708,19800,Alipur,200,83.2977,17.7041,33.13,40.13,33.13,33.13,999,62,0,0,5.66,200,0.0,75,IN,1719013988,1719061467,1,9255,2024-06-22 07:35:08
16,804,Clouds,overcast clouds,04d,stations,10000,1719041709,19800,Vizianagaram,200,83.3977,18.1133,32.77,36.99,32.77,32.77,998,54,998,991,1.52,137,2.98,99,IN,1719013916,1719061491,1,9255,2024-06-22 07:35:09
17,802,Clouds,scattered clouds,03d,stations,10000,1719041709,19800,Naharlagun,200,93.692,27.1023,33.64,39.31,33.64,33.64,999,55,999,982,2.54,189,2.55,37,IN,1719010305,1719060159,1,9123,2024-06-22 07:35:09
18,721,Haze,haze,50d,stations,5000,1719041709,19800,Dibrugarh,200,94.9084,27.4799,34.03,41.03,34.03,34.03,1001,59,0,0,2.06,210,0.0,40,IN,1719009961,1719059919,1,9126,2024-06-22 07:35:09
19,803,Clouds,broken clouds,04d,stations,10000,1719041710,19800,Dispur,200,91.8007,26.1356,34.96,41.96,34.96,34.96,999,66,999,992,1.59,5,1.88,64,IN,1719010891,1719060482,1,9117,2024-06-22 07:35:10
20,721,Haze,haze,50d,stations,3500,1719041634,19800,Guwahati,200,91.7619,26.1831,34.97,41.97,34.97,34.97,1001,66,0,0,2.57,300,0.0,75,IN,1719010894,1719060497,1,9117,2024-06-22 07:33:54
21,802,Clouds,scattered clouds,03d,stations,10000,1719041710,19800,Jorhat,200,94.2031,26.7575,35.75,42.75,35.75,35.75,998,51,998,988,1.74,237,1.73,34,IN,1719010230,1719059989,0,0,2024-06-22 07:35:10
22,804,Clouds,overcast clouds,04d,stations,10000,1719041711,19800,Silchar,200,92.7979,24.8273,30.9,37.9,30.9,30.9,1000,76,1000,997,0.15,241,0.89,90,IN,1719010825,1719060068,0,0,2024-06-22 07:35:11
23,802,Clouds,scattered clouds,03d,stations,10000,1719041711,19800,Tezpur,200,92.8,26.6333,34.51,41.51,34.51,34.51,998,58,998,990,1.4,179,1.77,37,IN,1719010583,1719060309,0,0,2024-06-22 07:35:11
24,804,Clouds,overcast clouds,04d,stations,10000,1719041711,19800,Aurangabad,200,84.3742,24.752,38.76,42.41,38.76,38.76,996,34,996,984,3.4,122,3.14,97,IN,1719012857,1719062080,0,0,2024-06-22 07:35:11
25,803,Clouds,broken clouds,04d,stations,10000,1719041712,19800,Bhagalpur,200,86.9718,25.2445,37.97,43.35,37.97,37.97,997,40,997,991,4.1,103,3.06,63,IN,1719012169,1719061522,0,0,2024-06-22 07:35:12
26,721,Haze,haze,50d,stations,5000,1719041712,19800,Gaya,200,85.0039,24.7969,37.97,43.82,37.97,37.97,999,41,0,0,3.09,70,0.0,20,IN,1719012700,1719061935,1,9115,2024-06-22 07:35:12
27,802,Clouds,scattered clouds,03d,stations,10000,1719041024,19800,Muzaffarpur,200,85.3858,26.1183,39.92,44.85,39.92,39.92,997,34,997,991,3.82,87,2.86,34,IN,1719012433,1719062019,0,0,2024-06-22 07:23:44
28,721,Haze,haze,50d,stations,5000,1719041713,19800,Patna,200,85.101,25.6154,39.98,46.98,39.98,39.98,998,53,0,0,4.12,100,0.0,40,IN,1719012569,1719062020,1,9129,2024-06-22 07:35:13
29,803,Clouds,broken clouds,04d,stations,10000,1719041713,19800,Purnia,200,87.4737,25.7767,35.32,42.28,35.32,35.32,998,52,998,993,3.9,82,3.21,81,IN,1719011978,1719061472,0,0,2024-06-22 07:35:13
