,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
0,802,Clouds,scattered clouds,03d,stations,6000,1723281417,19800,Port Blair,200,92.75,11.6667,31.02,37.65,31.02,31.02,1007,70,1007,1006,4.63,220,0.0,40,IN,1723246665,1723291865,1,9215,2024-08-10 09:16:57
1,803,Clouds,broken clouds,04d,stations,10000,1723281417,19800,Chirala,200,80.3522,15.8238,33.06,38.28,33.06,33.06,1004,56,1004,1002,0.61,31,3.63,74,IN,1723249342,1723295138,0,0,2024-08-10 09:16:57
2,803,Clouds,broken clouds,04d,stations,10000,1723281417,19800,Kondapalle,200,80.3667,16.5667,32.95,35.91,32.95,32.95,1004,49,1004,1000,4.76,318,5.83,51,IN,1723249284,1723295189,1,9207,2024-08-10 09:16:57
3,803,Clouds,broken clouds,04d,stations,10000,1723281418,19800,Guntur,200,80.4573,16.2997,34.86,40.35,32.97,34.86,1004,50,1004,1001,3.87,320,5.2,80,IN,1723249282,1723295147,2,2083890,2024-08-10 09:16:58
4,804,Clouds,overcast clouds,04d,stations,10000,1723281418,19800,Hindupur,200,77.4914,13.8281,29.39,30.9,29.39,29.39,1007,55,1007,939,4.21,301,4.71,100,IN,1723250174,1723295679,0,0,2024-08-10 09:16:58
5,804,Clouds,overcast clouds,04d,stations,10000,1723281418,19800,Kothapet,200,79.4661,19.3316,30.95,36.88,30.95,30.95,1004,68,1004,985,3.74,275,5.76,86,IN,1723249292,1723295613,0,0,2024-08-10 09:16:58
6,802,Clouds,scattered clouds,03d,stations,10000,1723281418,19800,Ramanayyapeta,200,82.2381,16.9604,34.22,37.87,34.22,34.22,1003,47,1003,1002,4.53,276,5.34,38,IN,1723248806,1723294769,1,9225,2024-08-10 09:16:58
7,804,Clouds,overcast clouds,04d,stations,10000,1723281418,19800,Alampur,200,78.036,15.8289,33.05,35.03,33.05,33.05,1005,45,1005,974,4.99,283,5.51,98,IN,1723249898,1723295694,0,0,2024-08-10 09:16:58
8,803,Clouds,broken clouds,04d,stations,10000,1723281296,19800,Machilipatnam,200,81.1389,16.1875,35.53,42.53,35.53,35.53,1004,64,1004,1002,1.72,256,4.31,73,IN,1723249127,1723294976,2,2083890,2024-08-10 09:14:56
9,804,Clouds,overcast clouds,04d,stations,10000,1723281419,19800,Nandyal,200,78.4836,15.478,32.77,36.69,32.77,32.77,1005,53,1005,982,2.92,283,4.39,98,IN,1723249816,1723295561,0,0,2024-08-10 09:16:59
10,804,Clouds,overcast clouds,04d,stations,10000,1723281419,19800,Nellore,200,79.987,14.4499,37.48,41.02,37.48,37.48,1003,37,1003,1001,4.26,308,4.52,99,IN,1723249530,1723295125,0,0,2024-08-10 09:16:59
11,804,Clouds,overcast clouds,04d,stations,10000,1723281419,19800,Ongole,200,80.0445,15.5036,35.03,39.25,35.03,35.03,1003,46,1003,1001,0.73,82,3.27,95,IN,1723249439,1723295188,0,0,2024-08-10 09:16:59
12,804,Clouds,overcast clouds,04d,stations,10000,1723281422,19800,Proddatur,200,78.5481,14.7502,30.83,31.62,30.83,30.83,1005,46,1005,987,4.31,307,5.15,100,IN,1723249853,1723295492,1,9210,2024-08-10 09:17:02
13,802,Clouds,scattered clouds,03d,stations,6000,1723281423,19800,Rajahmundry,200,81.7778,17.0052,34.05,41.05,34.05,34.05,1003,59,1003,999,5.14,240,0.0,40,IN,1723248913,1723294883,1,9225,2024-08-10 09:17:03
14,802,Clouds,scattered clouds,03d,stations,6000,1723280828,19800,Akkarampalle,200,79.4209,13.64,33.64,39.31,33.64,33.64,1005,55,1005,987,2.57,50,0.0,40,IN,1723249724,1723295203,1,9219,2024-08-10 09:07:08
15,721,Haze,haze,50d,stations,5000,1723281423,19800,Alipur,200,83.2977,17.7041,35.13,42.13,35.13,35.13,1003,59,1003,1002,5.14,230,0.0,75,IN,1723248496,1723294570,1,9255,2024-08-10 09:17:03
16,802,Clouds,scattered clouds,03d,stations,10000,1723281423,19800,Vizianagaram,200,83.3977,18.1133,34.77,41.77,34.77,34.77,1002,55,1002,995,4.28,156,3.89,44,IN,1723248441,1723294577,1,9255,2024-08-10 09:17:03
17,804,Clouds,overcast clouds,04d,stations,10000,1723281423,19800,Naharlagun,200,93.692,27.1023,26.64,26.64,26.64,26.64,1002,77,1002,985,2.82,232,5.12,100,IN,1723245244,1723292834,1,9123,2024-08-10 09:17:03
18,701,Mist,mist,50d,stations,5000,1723281423,19800,Dibrugarh,200,94.9084,27.4799,28.03,32.65,28.03,28.03,1002,83,1002,990,3.09,30,0.0,75,IN,1723244919,1723292575,1,9126,2024-08-10 09:17:03
19,804,Clouds,overcast clouds,04d,stations,8027,1723281423,19800,Dispur,200,91.8007,26.1356,29.96,36.96,29.96,29.96,1002,79,1002,995,1.44,302,2.42,99,IN,1723245781,1723293204,1,9117,2024-08-10 09:17:03
20,701,Mist,mist,50d,stations,4000,1723281423,19800,Guwahati,200,91.7629,26.1761,29.94,36.94,29.94,29.94,1002,84,1002,995,0.51,60,0.0,75,IN,1723245787,1723293216,1,9117,2024-08-10 09:17:03
21,804,Clouds,overcast clouds,04d,stations,10000,1723281029,19800,Jorhat,200,94.1963,26.7562,31.72,38.72,31.72,31.72,1001,69,1001,991,2.79,251,3.78,100,IN,1723245153,1723292682,0,0,2024-08-10 09:10:29
22,501,Rain,moderate rain,10d,stations,8343,1723281424,19800,Silchar,200,92.7979,24.8273,29.96,36.96,29.96,29.96,1003,81,1003,1000,2.33,260,3.5,60,IN,1723245653,1723292854,0,0,2024-08-10 09:17:04
23,804,Clouds,overcast clouds,04d,stations,10000,1723281173,19800,Tezpur,200,92.8,26.6333,30.76,37.76,30.76,30.76,1001,76,1001,993,3.23,276,4.41,100,IN,1723245499,1723293007,0,0,2024-08-10 09:12:53
24,804,Clouds,overcast clouds,04d,stations,10000,1723281424,19800,Aurangabad,200,84.3742,24.752,29.35,35.03,29.35,29.35,1001,77,1001,988,3.39,257,4.76,100,IN,1723247681,1723294868,0,0,2024-08-10 09:17:04
25,804,Clouds,overcast clouds,04d,stations,10000,1723281424,19800,Bhagalpur,200,86.9718,25.2445,33.89,39.91,33.89,33.89,1000,55,1000,994,1.76,87,1.47,97,IN,1723247016,1723294286,0,0,2024-08-10 09:17:04
26,701,Mist,mist,50d,stations,4000,1723281424,19800,Gaya,200,85.0039,24.7969,29.97,36.97,29.97,29.97,1001,84,1001,988,2.06,240,0.0,75,IN,1723247526,1723294721,1,9115,2024-08-10 09:17:04
27,804,Clouds,overcast clouds,04d,stations,10000,1723281424,19800,Muzaffarpur,200,85.3906,26.1226,34.97,40.6,34.97,34.97,1000,50,1000,993,1.91,121,2.74,98,IN,1723247321,1723294740,0,0,2024-08-10 09:17:04
28,701,Mist,mist,50d,stations,4500,1723281424,19800,Patna,200,85.101,25.6154,33.98,40.98,33.98,33.98,1000,79,1000,994,2.06,140,0.0,75,IN,1723247434,1723294766,1,9129,2024-08-10 09:17:04
29,804,Clouds,overcast clouds,04d,stations,10000,1723281424,19800,Purnia,200,87.4737,25.7767,33.73,40.65,33.73,33.73,1000,58,1000,996,2.82,141,2.93,100,IN,1723246851,1723294211,0,0,2024-08-10 09:17:04
30,802,Clouds,scattered clouds,03d,stations,10000,1723280926,19800,Chandigarh,200,76.7882,30.7387,33.78,39.64,33.78,33.78,1001,55,1001,963,5.29,142,5.04,30,IN,1723248973,1723297217,0,0,2024-08-10 09:08:46
31,804,Clouds,overcast clouds,04d,stations,10000,1723281425,19800,Bhilai,200,81.4285,21.2092,30.01,33.05,30.01,30.01,1003,61,1003,969,5.43,254,6.26,99,IN,1723248675,1723295288,1,9168,2024-08-10 09:17:05
32,804,Clouds,overcast clouds,04d,stations,10000,1723281425,19800,Bilaspur,200,82.1554,22.08,30.83,35.49,30.83,30.83,1002,64,1002,973,1.83,225,2.71,99,IN,1723248432,1723295182,0,0,2024-08-10 09:17:05
33,721,Haze,haze,50d,stations,5000,1723281305,19800,Raipur,200,81.6333,21.2333,29.08,32.9,29.08,29.08,1002,70,1002,970,3.6,240,0.0,40,IN,1723248624,1723295241,1,9168,2024-08-10 09:15:05
34,804,Clouds,overcast clouds,04d,stations,10000,1723281303,19800,Silvassa,200,72.9967,20.2739,29.62,34.13,29.62,29.62,1007,70,1007,1003,6.22,255,7.81,98,IN,1723250773,1723297238,0,0,2024-08-10 09:15:03
35,804,Clouds,overcast clouds,04d,stations,10000,1723281425,19800,Daman,200,72.8324,20.4143,28.57,33.38,28.57,28.57,1007,79,1007,1006,6.71,252,8.88,96,IN,1723250801,1723297288,0,0,2024-08-10 09:17:05
36,804,Clouds,overcast clouds,04d,stations,10000,1723280879,19800,Gogola,200,70.9882,20.7242,29.65,34.2,29.65,29.65,1006,70,1006,1005,8.25,257,10.15,99,IN,1723251220,1723297754,0,0,2024-08-10 09:07:59
37,701,Mist,mist,50d,stations,3000,1723281425,19800,Delhi,200,77.2315,28.652,30.03,37.03,30.03,30.03,1000,79,1000,975,2.06,150,0.0,75,IN,1723249059,1723296919,1,9165,2024-08-10 09:17:05
38,701,Mist,mist,50d,stations,3000,1723281343,19800,"Parliament House, Delhi",200,77.2,28.6,30.05,37.05,30.05,30.05,1000,79,1000,975,2.06,150,0.0,75,IN,1723249071,1723296922,1,9165,2024-08-10 09:15:43
39,803,Clouds,broken clouds,04d,stations,6000,1723281425,19800,Panjim,200,73.8245,15.4983,28.95,35.48,28.95,28.95,1008,84,1008,1008,4.63,280,0.0,75,IN,1723250933,1723296680,1,9233,2024-08-10 09:17:05
